"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL11A1",-0.0536179928547931,4.54419769735453,-1.16773891319519,0.244259655296202,0.284471408415943,-6.73590708446955
"CDNF",-0.0496974943552768,4.5560088466577,-1.16631661942584,0.244832717637258,0.285102086573731,-6.73755813693063
"CTXN1",0.0633567809565596,6.788886212025,1.16473395412706,0.245471512393879,0.285806983595721,-6.7393930204955
"MED10",-0.0479629828973724,7.02580685953926,-1.16466028386621,0.245501275810682,0.285806983595721,-6.73947837117635
"FNDC11",-0.0621599199116707,5.85983233996662,-1.16439174998789,0.245609787382784,0.285896496424328,-6.73978943599648
"EMP1",-0.0992754529612192,8.98663500308724,-1.16271540359035,0.246292724491168,0.286654547132422,-6.74172595220011
"SINHCAF",0.0714226614042666,6.18051839977694,1.16261074083932,0.246330331047508,0.286661413695523,-6.74185073325182
"RPS24",0.0516634641170981,7.6080569845703,1.1623245210424,0.246446266155836,0.286759419860349,-6.74218170673988
"ZSCAN31",0.062816866279662,4.92815168170241,1.16168059065489,0.246707234948598,0.287026137069911,-6.7429260288859
"OSGEP",-0.0499820727151681,6.17134960580708,-1.16158772706413,0.246744886311002,0.287033005293074,-6.74303333675749
"H1-5",0.0861780471554043,5.06160867271341,1.16144421667091,0.246803080296112,0.287063765464705,-6.7431991525346
"CFTR",-0.137238047401896,6.13966010924078,-1.16119351843431,0.246924036885642,0.287155278354756,-6.74347365019554
"CLTRN",-0.0794168712505039,4.21336135725363,-1.1610936393236,0.246945281407834,0.287155278354756,-6.74360413402157
"DENND5A",-0.0469133518759319,7.93117300153395,-1.16090482534241,0.247021892042929,0.287207423605983,-6.74382219899395
"SCML1",-0.0641024796045118,6.28747282951782,-1.16072068464392,0.247096622658407,0.287257369866871,-6.74403483298704
"TRMT61B",0.0622261741467991,5.99141833071471,1.16052912734356,0.247174380109509,0.287310821621248,-6.74425599587183
"PREX2",-0.0783936948636468,7.37722280497589,-1.15817975863604,0.248129446337535,0.288383895659809,-6.74696553386794
"MIR210",-0.0642983042843062,6.87048743902614,-1.15792339714289,0.24823381968442,0.288468118736098,-6.74726086883468
"CA8",-0.0689983413350213,4.48606527053308,-1.1575615181086,0.248381205412916,0.288602297665875,-6.74767765285484
"LMAN2L",-0.0553324211433326,6.52237789769882,-1.15745521301708,0.248424512958562,0.288615525784934,-6.74780006232496
"MRTFB",0.0631699114833166,7.58558530994475,1.15694824509061,0.248631119403884,0.288818444112876,-6.7483836792278
"SPON1",-0.0810280563805854,8.35331170628017,-1.15610116339053,0.248976603674964,0.289182614828539,-6.74935826889833
"SNORA50A",0.0733795322048145,7.59787090145872,1.15571950959495,0.249132372505804,0.289326368635192,-6.74979714133458
"TAS2R50",0.0870802430738946,4.42873848172627,1.15454549990029,0.249611965002188,0.289846105263907,-6.75114626522306
"ANK3",0.0729997924535102,7.01777530705528,1.15424408757847,0.249735199149451,0.289917019423453,-6.75149241757154
"LONRF1",0.0646442852176641,7.52569132174632,1.15423926983513,0.249737169258915,0.289917019423453,-6.75149794971043
"CD53",-0.0744772743637174,8.69214662596923,-1.15255144675658,0.250428040393459,0.290681719501511,-6.75343464760339
"LY9",0.06964091770773,5.20668677081455,1.15078878370133,0.251150979329385,0.291483440836582,-6.75545423431915
"FOLR1",0.0870544853096327,7.17871775220809,1.14949416892914,0.251682929668846,0.292063325264541,-6.756935571985
"CXCL11",-0.151071295742213,4.21919960653659,-1.14910399864197,0.251866185018491,0.292238472632467,-6.75736328685967
"GNPDA2",0.0522657387433192,5.2993865127149,1.14826871701505,0.252187105718819,0.292573286642352,-6.75833632285212
"TNFAIP3",-0.130698365535505,7.82881568369582,-1.14538016645472,0.253396082804727,0.293938155586032,-6.76161776262962
"ANXA2R-OT1",-0.0558999149350754,5.09291020120872,-1.14508054630646,0.253502219154641,0.29402354886172,-6.7619735545861
"ABCE1",0.0782019221105168,7.03762580802092,1.14327176225919,0.254250473642818,0.294853582889266,-6.76403267065665
"CSTF2T",0.0479780505223708,6.18392521789885,1.14280029736527,0.254445762458019,0.295042213464531,-6.7645688572758
"ASTN2",0.0444269446771033,4.98112438316778,1.13902825973197,0.256011989995576,0.296820261804309,-6.76885084963909
"TRAF1",0.0663985315557296,5.08596756343752,1.13793768256675,0.256466074669574,0.297308601242161,-6.77008626055584
"STRA6",0.0474241815092356,4.94268605784795,1.13325612616459,0.258421737471685,0.299537298523269,-6.77537627333891
"KSR1",-0.0610781014322868,6.47118446787614,-1.13301500794157,0.258522742857415,0.29961596182206,-6.77564814622699
"RPS4Y2",-0.0801977613049436,4.13721814141756,-1.13068330973239,0.259500922689728,0.300711079471652,-6.77827430512613
"LURAP1",0.0537807598832067,5.5000600466634,1.13018732793835,0.259709326514618,0.300914010126703,-6.77883223328215
"CERS4",-0.0645656978084324,6.5434089347676,-1.12924956612189,0.26010367834417,0.301332311110923,-6.77988645750867
"LRRC37B",-0.0659793607657999,5.8599297080627,-1.12907409078418,0.260177516367429,0.301379234526319,-6.78008362946332
"CCDC121",-0.0498552031301029,5.15349348706078,-1.12603007682329,0.261460728513172,0.302826857095515,-6.78349920378456
"HVCN1",-0.0509438391343853,6.22100524374533,-1.12578899164348,0.261562546615595,0.302905979755552,-6.78376932722594
"TMEM200B",-0.0565167275015046,7.1654475704636,-1.12350036171497,0.262530484367876,0.303973842515146,-6.78633077285453
"PTCH2",0.139376356532825,3.58594093399971,1.12349803417947,0.262551900918126,0.303973842515146,-6.78631591019798
"RFTN1",-0.0548740496745888,7.68777042442532,-1.1230992651953,0.262700377712567,0.304106800883395,-6.78677915175396
"MANBA",0.0562901647788623,7.2640765672803,1.12200002004404,0.263166379325605,0.304569952563851,-6.78800716835349
"NUFIP1",-0.0488683055103989,6.39177991053243,-1.1219818978872,0.263174066641002,0.304569952563851,-6.78802740348344
"PIGR",0.130532285931613,9.69039473213531,1.12195989442392,0.263201530735689,0.304569952563851,-6.78803642522794
"NT5DC3",-0.0696247653671787,5.80428624473953,-1.12162920470073,0.263323708160662,0.304672337532703,-6.78842115504036
"DNAJB14",0.0576958152820461,6.91590218257628,1.11998229596958,0.264023245435819,0.305442631092161,-6.79025816799021
"DNAJC5B",-0.0841561158530553,4.25619975341654,-1.11827707917456,0.264748908740701,0.306242948301519,-6.79215740968267
"ABRAXAS1",0.0453532419446256,5.50660008098426,1.11815193567753,0.264802218647132,0.306265429037831,-6.79229667979535
"SHANK2",-0.0624257815754694,5.91453161751139,-1.11734488758992,0.265146192223412,0.306624037335874,-6.7931944603191
"SGMS2",-0.0833373729584608,7.71771537264428,-1.11620489358138,0.265632599483235,0.307147247976458,-6.7944615270331
